Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
2020-01-01,04:00:00,No data,,46.1,V ugm-3 (TEOM FDMS),53.1,V ugm-3 (TEOM FDMS),45.6,V ugm-3 (TEOM FDMS),,,42.9,V ugm-3 (TEOM FDMS),52.525,V ugm-3 (FIDAS),45.024,V ugm-3 (Ref.eq),,,44.9,V ugm-3 (FIDAS),39.552,V ugm-3 (Ref.eq),0.335059,V mgm-3,45.1,V ugm-3 (TEOM FDMS),42.8,V ugm-3 (TEOM FDMS),0.203878,V mgm-3,48.525,V ugm-3 (FIDAS),41.179,V ugm-3 (Ref.eq),48.2,V ugm-3 (FIDAS),42.382,V ugm-3 (Ref.eq),48,V ugm-3 (BAM)
2020-01-01,05:00:00,No data,,39.6,V ugm-3 (TEOM FDMS),46.3,V ugm-3 (TEOM FDMS),40.4,V ugm-3 (TEOM FDMS),,,39.9,V ugm-3 (TEOM FDMS),47.043,V ugm-3 (FIDAS),41.227,V ugm-3 (Ref.eq),,,44.35,V ugm-3 (FIDAS),39.293,V ugm-3 (Ref.eq),0.349257,V mgm-3,40.8,V ugm-3 (TEOM FDMS),36.8,V ugm-3 (TEOM FDMS),0.168928,V mgm-3,45.4,V ugm-3 (FIDAS),40.118,V ugm-3 (Ref.eq),43.325,V ugm-3 (FIDAS),38.585,V ugm-3 (Ref.eq),43,V ugm-3 (BAM)
2020-01-01,06:00:00,No data,,34.3,V ugm-3 (TEOM FDMS),43.7,V ugm-3 (TEOM FDMS),39.6,V ugm-3 (TEOM FDMS),,,38.2,V ugm-3 (TEOM FDMS),45.905,V ugm-3 (FIDAS),40.573,V ugm-3 (Ref.eq),,,44.35,V ugm-3 (FIDAS),39.34,V ugm-3 (Ref.eq),0.403207,V mgm-3,44.1,V ugm-3 (TEOM FDMS),39.2,V ugm-3 (TEOM FDMS),0.160189,V mgm-3,43.85,V ugm-3 (FIDAS),39.387,V ugm-3 (Ref.eq),43.1,V ugm-3 (FIDAS),38.326,V ugm-3 (Ref.eq),41,V ugm-3 (BAM)
2020-01-01,07:00:00,No data,,28.4,V ugm-3 (TEOM FDMS),46.1,V ugm-3 (TEOM FDMS),39.5,V ugm-3 (TEOM FDMS),,,34.6,V ugm-3 (TEOM FDMS),45.613,V ugm-3 (FIDAS),40.618,V ugm-3 (Ref.eq),,,43.375,V ugm-3 (FIDAS),38.538,V ugm-3 (Ref.eq),0.377651,V mgm-3,44.3,V ugm-3 (TEOM FDMS),38.7,V ugm-3 (TEOM FDMS),0.157278,V mgm-3,43.575,V ugm-3 (FIDAS),39.293,V ugm-3 (Ref.eq),41.15,V ugm-3 (FIDAS),36.793,V ugm-3 (Ref.eq),39,V ugm-3 (BAM)
2020-01-01,08:00:00,No data,,28.2,V ugm-3 (TEOM FDMS),42.7,V ugm-3 (TEOM FDMS),35,V ugm-3 (TEOM FDMS),,,24.4,V ugm-3 (TEOM FDMS),45.16,V ugm-3 (FIDAS),40.352,V ugm-3 (Ref.eq),,,41.8,V ugm-3 (FIDAS),37.5,V ugm-3 (Ref.eq),0.366293,V mgm-3,40.4,V ugm-3 (TEOM FDMS),39.3,V ugm-3 (TEOM FDMS),0.177665,V mgm-3,42.075,V ugm-3 (FIDAS),37.995,V ugm-3 (Ref.eq),40.725,V ugm-3 (FIDAS),36.321,V ugm-3 (Ref.eq),39,V ugm-3 (BAM)
2020-01-01,09:00:00,No data,,26.5,V ugm-3 (TEOM FDMS),42.8,V ugm-3 (TEOM FDMS),39.3,V ugm-3 (TEOM FDMS),,,26.7,V ugm-3 (TEOM FDMS),43.805,V ugm-3 (FIDAS),38.778,V ugm-3 (Ref.eq),,,36.5,V ugm-3 (FIDAS),32.83,V ugm-3 (Ref.eq),0.363454,V mgm-3,37.5,V ugm-3 (TEOM FDMS),37.3,V ugm-3 (TEOM FDMS),0.233003,V mgm-3,41.775,V ugm-3 (FIDAS),37.194,V ugm-3 (Ref.eq),38.225,V ugm-3 (FIDAS),34.458,V ugm-3 (Ref.eq),42,V ugm-3 (BAM)
2020-01-01,10:00:00,No data,,26.1,V ugm-3 (TEOM FDMS),42.1,V ugm-3 (TEOM FDMS),37.1,V ugm-3 (TEOM FDMS),,,29.6,V ugm-3 (TEOM FDMS),49.365,V ugm-3 (FIDAS),42.653,V ugm-3 (Ref.eq),,,31.65,V ugm-3 (FIDAS),28.821,V ugm-3 (Ref.eq),0.394688,V mgm-3,34.6,V ugm-3 (TEOM FDMS),34.3,V ugm-3 (TEOM FDMS),0.329117,V mgm-3,37.625,V ugm-3 (FIDAS),33.821,V ugm-3 (Ref.eq),41.075,V ugm-3 (FIDAS),36.604,V ugm-3 (Ref.eq),41,V ugm-3 (BAM)
2020-01-01,11:00:00,No data,,30.8,V ugm-3 (TEOM FDMS),41.3,V ugm-3 (TEOM FDMS),35.9,V ugm-3 (TEOM FDMS),,,32.5,V ugm-3 (TEOM FDMS),47.183,V ugm-3 (FIDAS),41.528,V ugm-3 (Ref.eq),,,33.225,V ugm-3 (FIDAS),30.142,V ugm-3 (Ref.eq),0.389009,V mgm-3,34.8,V ugm-3 (TEOM FDMS),30.8,V ugm-3 (TEOM FDMS),0.361155,V mgm-3,37.375,V ugm-3 (FIDAS),33.255,V ugm-3 (Ref.eq),41.225,V ugm-3 (FIDAS),36.863,V ugm-3 (Ref.eq),36,V ugm-3 (BAM)
2020-01-01,12:00:00,No data,,29.9,V ugm-3 (TEOM FDMS),41.9,V ugm-3 (TEOM FDMS),38.1,V ugm-3 (TEOM FDMS),,,31.8,V ugm-3 (TEOM FDMS),44.583,V ugm-3 (FIDAS),38.986,V ugm-3 (Ref.eq),,,36.425,V ugm-3 (FIDAS),32.83,V ugm-3 (Ref.eq),0.423083,V mgm-3,35,V ugm-3 (TEOM FDMS),35.3,V ugm-3 (TEOM FDMS),0.35533,V mgm-3,39.45,V ugm-3 (FIDAS),35.142,V ugm-3 (Ref.eq),40.375,V ugm-3 (FIDAS),36.156,V ugm-3 (Ref.eq),37,V ugm-3 (BAM)
2020-01-01,13:00:00,No data,,32.8,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),39,V ugm-3 (TEOM FDMS),,,31.9,V ugm-3 (TEOM FDMS),34.193,V ugm-3 (FIDAS),30.465,V ugm-3 (Ref.eq),,,38.6,V ugm-3 (FIDAS),34.67,V ugm-3 (Ref.eq),0.394688,V mgm-3,42,V ugm-3 (TEOM FDMS),39.8,V ugm-3 (TEOM FDMS),0.19514,V mgm-3,39.8,V ugm-3 (FIDAS),35.354,V ugm-3 (Ref.eq),37.975,V ugm-3 (FIDAS),33.703,V ugm-3 (Ref.eq),38,V ugm-3 (BAM)
2020-01-01,14:00:00,No data,,34.8,V ugm-3 (TEOM FDMS),42.8,V ugm-3 (TEOM FDMS),38.8,V ugm-3 (TEOM FDMS),,,31.4,V ugm-3 (TEOM FDMS),30.283,V ugm-3 (FIDAS),26.602,V ugm-3 (Ref.eq),,,39.875,V ugm-3 (FIDAS),35.778,V ugm-3 (Ref.eq),0.360614,V mgm-3,43.2,V ugm-3 (TEOM FDMS),39.5,V ugm-3 (TEOM FDMS),0.180578,V mgm-3,40.45,V ugm-3 (FIDAS),36.014,V ugm-3 (Ref.eq),36.2,V ugm-3 (FIDAS),31.958,V ugm-3 (Ref.eq),36,V ugm-3 (BAM)
2020-01-01,15:00:00,No data,,35,V ugm-3 (TEOM FDMS),39.1,V ugm-3 (TEOM FDMS),32.7,V ugm-3 (TEOM FDMS),,,32,V ugm-3 (TEOM FDMS),32.237,V ugm-3 (FIDAS),28.04,V ugm-3 (Ref.eq),,,38.625,V ugm-3 (FIDAS),33.679,V ugm-3 (Ref.eq),0.343578,V mgm-3,45.1,V ugm-3 (TEOM FDMS),39.4,V ugm-3 (TEOM FDMS),0.168928,V mgm-3,41.475,V ugm-3 (FIDAS),36.651,V ugm-3 (Ref.eq),35.775,V ugm-3 (FIDAS),31.392,V ugm-3 (Ref.eq),39,V ugm-3 (BAM)
2020-01-01,16:00:00,No data,,32.8,V ugm-3 (TEOM FDMS),35.8,V ugm-3 (TEOM FDMS),29.9,V ugm-3 (TEOM FDMS),,,30.3,V ugm-3 (TEOM FDMS),32.645,V ugm-3 (FIDAS),27.703,V ugm-3 (Ref.eq),,,40.475,V ugm-3 (FIDAS),35.472,V ugm-3 (Ref.eq),0.227159,V mgm-3,42.8,V ugm-3 (TEOM FDMS),40.6,V ugm-3 (TEOM FDMS),0.142715,V mgm-3,34.1,V ugm-3 (FIDAS),29.811,V ugm-3 (Ref.eq),24.8,V ugm-3 (FIDAS),21.934,V ugm-3 (Ref.eq),33,V ugm-3 (BAM)
2020-01-01,17:00:00,No data,,31.8,V ugm-3 (TEOM FDMS),39.7,V ugm-3 (TEOM FDMS),31.8,V ugm-3 (TEOM FDMS),,,31.4,V ugm-3 (TEOM FDMS),25.42,V ugm-3 (FIDAS),21.932,V ugm-3 (Ref.eq),,,36.5,V ugm-3 (FIDAS),32.382,V ugm-3 (Ref.eq),0.380491,V mgm-3,39.2,V ugm-3 (TEOM FDMS),36.4,V ugm-3 (TEOM FDMS),0.107764,V mgm-3,26.775,V ugm-3 (FIDAS),23.797,V ugm-3 (Ref.eq),33.175,V ugm-3 (FIDAS),29.01,V ugm-3 (Ref.eq),33,V ugm-3 (BAM)
2020-01-01,18:00:00,No data,,31.3,V ugm-3 (TEOM FDMS),36.1,V ugm-3 (TEOM FDMS),30.5,V ugm-3 (TEOM FDMS),,,30.9,V ugm-3 (TEOM FDMS),18.063,V ugm-3 (FIDAS),15.413,V ugm-3 (Ref.eq),,,35.8,V ugm-3 (FIDAS),31.816,V ugm-3 (Ref.eq),0.309504,V mgm-3,38.6,V ugm-3 (TEOM FDMS),33.5,V ugm-3 (TEOM FDMS),0.101939,V mgm-3,26.7,V ugm-3 (FIDAS),23.679,V ugm-3 (Ref.eq),33.2,V ugm-3 (FIDAS),29.293,V ugm-3 (Ref.eq),32,V ugm-3 (BAM)
2020-01-01,19:00:00,No data,,30,V ugm-3 (TEOM FDMS),33.2,V ugm-3 (TEOM FDMS),30.8,V ugm-3 (TEOM FDMS),,,27,V ugm-3 (TEOM FDMS),23.218,V ugm-3 (FIDAS),19.583,V ugm-3 (Ref.eq),,,32.2,V ugm-3 (FIDAS),28.538,V ugm-3 (Ref.eq),0.255554,V mgm-3,35,V ugm-3 (TEOM FDMS),32.5,V ugm-3 (TEOM FDMS),0.148539,V mgm-3,34.975,V ugm-3 (FIDAS),30.071,V ugm-3 (Ref.eq),26.725,V ugm-3 (FIDAS),23.679,V ugm-3 (Ref.eq),34,V ugm-3 (BAM)
2020-01-01,20:00:00,No data,,30.7,V ugm-3 (TEOM FDMS),32.3,V ugm-3 (TEOM FDMS),27.7,V ugm-3 (TEOM FDMS),,,25.6,V ugm-3 (TEOM FDMS),31.763,V ugm-3 (FIDAS),27.918,V ugm-3 (Ref.eq),,,31.4,V ugm-3 (FIDAS),27.311,V ugm-3 (Ref.eq),0.247035,V mgm-3,35.2,V ugm-3 (TEOM FDMS),31.2,V ugm-3 (TEOM FDMS),0.145627,V mgm-3,31.35,V ugm-3 (FIDAS),27.618,V ugm-3 (Ref.eq),22.25,V ugm-3 (FIDAS),19.505,V ugm-3 (Ref.eq),30,V ugm-3 (BAM)
2020-01-01,21:00:00,No data,,31.1,V ugm-3 (TEOM FDMS),28.8,V ugm-3 (TEOM FDMS),24.8,V ugm-3 (TEOM FDMS),,,26.4,V ugm-3 (TEOM FDMS),25.403,V ugm-3 (FIDAS),22.25,V ugm-3 (Ref.eq),,,28.4,V ugm-3 (FIDAS),24.906,V ugm-3 (Ref.eq),0.184566,V mgm-3,26.3,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),0.093201,V mgm-3,23.55,V ugm-3 (FIDAS),20.778,V ugm-3 (Ref.eq),23.75,V ugm-3 (FIDAS),20.566,V ugm-3 (Ref.eq),27,V ugm-3 (BAM)
2020-01-01,22:00:00,No data,,32.1,V ugm-3 (TEOM FDMS),30.1,V ugm-3 (TEOM FDMS),24.4,V ugm-3 (TEOM FDMS),,,28.3,V ugm-3 (TEOM FDMS),28.708,V ugm-3 (FIDAS),25.859,V ugm-3 (Ref.eq),,,30.075,V ugm-3 (FIDAS),26.321,V ugm-3 (Ref.eq),0.198764,V mgm-3,25.7,V ugm-3 (TEOM FDMS),24.3,V ugm-3 (TEOM FDMS),0.122327,V mgm-3,23.95,V ugm-3 (FIDAS),21.344,V ugm-3 (Ref.eq),26.9,V ugm-3 (FIDAS),24.127,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
2020-01-01,23:00:00,No data,,24.9,V ugm-3 (TEOM FDMS),25.3,V ugm-3 (TEOM FDMS),22.5,V ugm-3 (TEOM FDMS),,,18.5,V ugm-3 (TEOM FDMS),29.315,V ugm-3 (FIDAS),26.024,V ugm-3 (Ref.eq),,,23.75,V ugm-3 (FIDAS),21.297,V ugm-3 (Ref.eq),0.247035,V mgm-3,27.9,V ugm-3 (TEOM FDMS),26.9,V ugm-3 (TEOM FDMS),0.093201,V mgm-3,22.65,V ugm-3 (FIDAS),20,V ugm-3 (Ref.eq),27.125,V ugm-3 (FIDAS),24.693,V ugm-3 (Ref.eq),24,V ugm-3 (BAM)
2020-01-01,24:00:00,No data,,24.2,V ugm-3 (TEOM FDMS),21.8,V ugm-3 (TEOM FDMS),19.7,V ugm-3 (TEOM FDMS),,,18.9,V ugm-3 (TEOM FDMS),27.673,V ugm-3 (FIDAS),24.821,V ugm-3 (Ref.eq),,,16.9,V ugm-3 (FIDAS),15.354,V ugm-3 (Ref.eq),0.102221,V mgm-3,24.8,V ugm-3 (TEOM FDMS),21.1,V ugm-3 (TEOM FDMS),0.093201,V mgm-3,20.65,V ugm-3 (FIDAS),18.609,V ugm-3 (Ref.eq),19.2,V ugm-3 (FIDAS),17.689,V ugm-3 (Ref.eq),23,V ugm-3 (BAM)
2020-01-02,01:00:00,No data,,17.7,V ugm-3 (TEOM FDMS),20.1,V ugm-3 (TEOM FDMS),17.7,V ugm-3 (TEOM FDMS),,,9.1,V ugm-3 (TEOM FDMS),19.913,V ugm-3 (FIDAS),18.052,V ugm-3 (Ref.eq),,,11.7,V ugm-3 (FIDAS),10.778,V ugm-3 (Ref.eq),No data,V mgm-3,21.6,V ugm-3 (TEOM FDMS),18.8,V ugm-3 (TEOM FDMS),0.209556,V mgm-3,15.525,V ugm-3 (FIDAS),14.387,V ugm-3 (Ref.eq),15.25,V ugm-3 (FIDAS),14.033,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
2020-01-02,02:00:00,No data,,18.1,V ugm-3 (TEOM FDMS),14.3,V ugm-3 (TEOM FDMS),14.1,V ugm-3 (TEOM FDMS),,,7.5,V ugm-3 (TEOM FDMS),15.28,V ugm-3 (FIDAS),13.868,V ugm-3 (Ref.eq),,,9.9,V ugm-3 (FIDAS),9.151,V ugm-3 (Ref.eq),0.290732,V mgm-3,15.5,V ugm-3 (TEOM FDMS),15.7,V ugm-3 (TEOM FDMS),0.190152,V mgm-3,12.625,V ugm-3 (FIDAS),11.745,V ugm-3 (Ref.eq),14.75,V ugm-3 (FIDAS),13.373,V ugm-3 (Ref.eq),12,V ugm-3 (BAM)
2020-01-02,03:00:00,No data,,11.7,V ugm-3 (TEOM FDMS),14.7,V ugm-3 (TEOM FDMS),14.2,V ugm-3 (TEOM FDMS),,,8.5,V ugm-3 (TEOM FDMS),16.518,V ugm-3 (FIDAS),15.212,V ugm-3 (Ref.eq),,,10.8,V ugm-3 (FIDAS),9.906,V ugm-3 (Ref.eq),0.286013,V mgm-3,12.6,V ugm-3 (TEOM FDMS),12.8,V ugm-3 (TEOM FDMS),0.209556,V mgm-3,12.275,V ugm-3 (FIDAS),11.344,V ugm-3 (Ref.eq),12.925,V ugm-3 (FIDAS),11.887,V ugm-3 (Ref.eq),17,V ugm-3 (BAM)
2020-01-02,04:00:00,No data,,11.1,V ugm-3 (TEOM FDMS),12.8,V ugm-3 (TEOM FDMS),10.7,V ugm-3 (TEOM FDMS),,,8.2,V ugm-3 (TEOM FDMS),15.97,V ugm-3 (FIDAS),14.601,V ugm-3 (Ref.eq),,,10.925,V ugm-3 (FIDAS),9.953,V ugm-3 (Ref.eq),0.254863,V mgm-3,16,V ugm-3 (TEOM FDMS),12.3,V ugm-3 (TEOM FDMS),0.203735,V mgm-3,12.375,V ugm-3 (FIDAS),11.297,V ugm-3 (Ref.eq),13.475,V ugm-3 (FIDAS),12.382,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
2020-01-02,05:00:00,No data,,10.8,V ugm-3 (TEOM FDMS),13.4,V ugm-3 (TEOM FDMS),11.7,V ugm-3 (TEOM FDMS),,,8,V ugm-3 (TEOM FDMS),14.71,V ugm-3 (FIDAS),13.217,V ugm-3 (Ref.eq),,,10.925,V ugm-3 (FIDAS),9.859,V ugm-3 (Ref.eq),0.23504,V mgm-3,13.4,V ugm-3 (TEOM FDMS),12.4,V ugm-3 (TEOM FDMS),0.189183,V mgm-3,12.675,V ugm-3 (FIDAS),11.509,V ugm-3 (Ref.eq),13.975,V ugm-3 (FIDAS),12.594,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2020-01-02,06:00:00,No data,,11.5,V ugm-3 (TEOM FDMS),13.4,V ugm-3 (TEOM FDMS),11.4,V ugm-3 (TEOM FDMS),,,7.4,V ugm-3 (TEOM FDMS),14.098,V ugm-3 (FIDAS),12.854,V ugm-3 (Ref.eq),,,10.775,V ugm-3 (FIDAS),9.788,V ugm-3 (Ref.eq),0.23504,V mgm-3,17,V ugm-3 (TEOM FDMS),13.8,V ugm-3 (TEOM FDMS),0.192093,V mgm-3,13.15,V ugm-3 (FIDAS),11.769,V ugm-3 (Ref.eq),12.825,V ugm-3 (FIDAS),11.627,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
2020-01-02,07:00:00,No data,,12.3,V ugm-3 (TEOM FDMS),11.9,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),,,8.5,V ugm-3 (TEOM FDMS),12.368,V ugm-3 (FIDAS),11.033,V ugm-3 (Ref.eq),,,9.375,V ugm-3 (FIDAS),8.42,V ugm-3 (Ref.eq),0.362471,V mgm-3,13.9,V ugm-3 (TEOM FDMS),10.3,V ugm-3 (TEOM FDMS),0.197914,V mgm-3,11.5,V ugm-3 (FIDAS),10.377,V ugm-3 (Ref.eq),9.7,V ugm-3 (FIDAS),8.821,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
2020-01-02,08:00:00,No data,,8.8,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),6.3,V ugm-3 (TEOM FDMS),,,6.1,V ugm-3 (TEOM FDMS),7.149,V ugm-3 (FIDAS),6.149,V ugm-3 (Ref.eq),,,6.225,V ugm-3 (FIDAS),5.236,V ugm-3 (Ref.eq),0.362471,V mgm-3,12.7,V ugm-3 (TEOM FDMS),6.9,V ugm-3 (TEOM FDMS),0.197914,V mgm-3,8.4,V ugm-3 (FIDAS),7.288,V ugm-3 (Ref.eq),7.925,V ugm-3 (FIDAS),6.816,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
2020-01-02,09:00:00,No data,,10.7,V ugm-3 (TEOM FDMS),12.6,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),,,6.3,V ugm-3 (TEOM FDMS),5.606,V ugm-3 (FIDAS),4.734,V ugm-3 (Ref.eq),,,5.9,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),0.365304,V mgm-3,11,V ugm-3 (TEOM FDMS),9.5,V ugm-3 (TEOM FDMS),0.189183,V mgm-3,7.3,V ugm-3 (FIDAS),5.637,V ugm-3 (Ref.eq),6.625,V ugm-3 (FIDAS),5.613,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2020-01-02,10:00:00,No data,,8.7,V ugm-3 (TEOM FDMS),9.4,V ugm-3 (TEOM FDMS),6.3,V ugm-3 (TEOM FDMS),,,5.2,V ugm-3 (TEOM FDMS),4.662,V ugm-3 (FIDAS),3.76,V ugm-3 (Ref.eq),,,6.375,V ugm-3 (FIDAS),4.976,V ugm-3 (Ref.eq),0.286013,V mgm-3,10,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),0.200825,V mgm-3,6.25,V ugm-3 (FIDAS),4.552,V ugm-3 (Ref.eq),4,V ugm-3 (FIDAS),2.877,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-02,11:00:00,No data,,5.5,V ugm-3 (TEOM FDMS),6.8,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),,,4.5,V ugm-3 (TEOM FDMS),5.468,V ugm-3 (FIDAS),3.8,V ugm-3 (Ref.eq),,,4.575,V ugm-3 (FIDAS),3.561,V ugm-3 (Ref.eq),0.254863,V mgm-3,11.8,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),0.192093,V mgm-3,4.95,V ugm-3 (FIDAS),3.325,V ugm-3 (Ref.eq),4.1,V ugm-3 (FIDAS),2.382,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
2020-01-02,12:00:00,No data,,5.9,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),,,2.2,V ugm-3 (TEOM FDMS),5.215,V ugm-3 (FIDAS),3.357,V ugm-3 (Ref.eq),,,5.675,V ugm-3 (FIDAS),3.609,V ugm-3 (Ref.eq),0.29734,V mgm-3,12,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),0.165899,V mgm-3,5.225,V ugm-3 (FIDAS),3.113,V ugm-3 (Ref.eq),4.525,V ugm-3 (FIDAS),2.5,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2020-01-02,13:00:00,No data,,6.1,V ugm-3 (TEOM FDMS),10.8,V ugm-3 (TEOM FDMS),7.3,V ugm-3 (TEOM FDMS),,,4.1,V ugm-3 (TEOM FDMS),7.933,V ugm-3 (FIDAS),3.97,V ugm-3 (Ref.eq),,,5.825,V ugm-3 (FIDAS),3.538,V ugm-3 (Ref.eq),0.29734,V mgm-3,10.7,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),0.148436,V mgm-3,6.075,V ugm-3 (FIDAS),3.491,V ugm-3 (Ref.eq),6.175,V ugm-3 (FIDAS),3.491,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
