Site Type,,Suburban Background,,,,Urban Background,,,,Suburban Background,,,,Urban Industrial,,,,Urban Background,,Urban Background,,,,Urban Traffic,,,,,,Urban Background,,,,,,Urban Background,,,,Urban Background,,
Zone,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,Greater London,,,,Greater London,,,,,,Greater London,,,,,,Greater London,,,,Greater London,,
Agglomeration,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,Greater London Urban Area,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,Greater London Urban Area,,
Local Authority,,"Bexley",,,,"Camden",,,,"Greenwich",,,,"Hillingdon",,,,"Hillingdon",,"Lewisham",,,,"Westminster",,,,,,"Kensington",,,,,,"Richmond",,,,"Westminster",,
Date,Time,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2021-08-04,18:00:00,9.8,V ugm-3 (FIDAS),5.472,V ugm-3 (Ref.eq),8.792,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.4,V ugm-3 (FIDAS),5.283,V ugm-3 (Ref.eq),6.571,V ugm-3 (FIDAS),4.113,V ugm-3 (Ref.eq),,,6.3,V ugm-3 (FIDAS),4.528,V ugm-3 (Ref.eq),0.570458,V mgm-3,No data,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),No data,V mgm-3,7.6,V ugm-3 (FIDAS),4.623,V ugm-3 (Ref.eq),6.925,V ugm-3 (FIDAS),4.481,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-04,19:00:00,7.9,V ugm-3 (FIDAS),5.189,V ugm-3 (Ref.eq),13.623,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),7.8,V ugm-3 (FIDAS),5.094,V ugm-3 (Ref.eq),6.122,V ugm-3 (FIDAS),4.15,V ugm-3 (Ref.eq),,,7.4,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),0.5821,V mgm-3,No data,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),No data,V mgm-3,7.8,V ugm-3 (FIDAS),5.094,V ugm-3 (Ref.eq),8,V ugm-3 (FIDAS),4.953,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-04,20:00:00,8.8,V ugm-3 (FIDAS),6.038,V ugm-3 (Ref.eq),12.657,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.1,V ugm-3 (FIDAS),5.377,V ugm-3 (Ref.eq),8.231,V ugm-3 (FIDAS),5.151,V ugm-3 (Ref.eq),,,13.6,V ugm-3 (FIDAS),7.736,V ugm-3 (Ref.eq),0.5821,V mgm-3,No data,V ugm-3 (TEOM FDMS),8.9,V ugm-3 (TEOM FDMS),No data,V mgm-3,8.6,V ugm-3 (FIDAS),5.755,V ugm-3 (Ref.eq),8.75,V ugm-3 (FIDAS),5.708,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-04,21:00:00,12,V ugm-3 (FIDAS),7.925,V ugm-3 (Ref.eq),15.556,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.7,V ugm-3 (FIDAS),5.849,V ugm-3 (Ref.eq),11.393,V ugm-3 (FIDAS),6.339,V ugm-3 (Ref.eq),,,13.2,V ugm-3 (FIDAS),7.83,V ugm-3 (Ref.eq),0.500606,V mgm-3,No data,V ugm-3 (TEOM FDMS),11.4,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.6,V ugm-3 (FIDAS),6.415,V ugm-3 (Ref.eq),9.425,V ugm-3 (FIDAS),5.542,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-04,22:00:00,13.4,V ugm-3 (FIDAS),8.962,V ugm-3 (Ref.eq),15.556,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),9.7,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq),12.235,V ugm-3 (FIDAS),7.373,V ugm-3 (Ref.eq),,,11.7,V ugm-3 (FIDAS),7.736,V ugm-3 (Ref.eq),0.558816,V mgm-3,No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),No data,V mgm-3,9.9,V ugm-3 (FIDAS),6.604,V ugm-3 (Ref.eq),9.7,V ugm-3 (FIDAS),6.085,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-04,23:00:00,13.6,V ugm-3 (FIDAS),9.528,V ugm-3 (Ref.eq),17.488,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),9.6,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq),12.298,V ugm-3 (FIDAS),7.477,V ugm-3 (Ref.eq),,,10.9,V ugm-3 (FIDAS),7.642,V ugm-3 (Ref.eq),0.477322,V mgm-3,No data,V ugm-3 (TEOM FDMS),10.9,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.8,V ugm-3 (FIDAS),6.981,V ugm-3 (Ref.eq),9.8,V ugm-3 (FIDAS),6.179,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-04,24:00:00,13.1,V ugm-3 (FIDAS),9.906,V ugm-3 (Ref.eq),13.623,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),9.6,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq),12.375,V ugm-3 (FIDAS),7.328,V ugm-3 (Ref.eq),,,11.5,V ugm-3 (FIDAS),8.208,V ugm-3 (Ref.eq),0.442396,V mgm-3,No data,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),No data,V mgm-3,9.9,V ugm-3 (FIDAS),6.887,V ugm-3 (Ref.eq),9.375,V ugm-3 (FIDAS),6.203,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,01:00:00,13.4,V ugm-3 (FIDAS),10.094,V ugm-3 (Ref.eq),12.657,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.8,V ugm-3 (FIDAS),6.698,V ugm-3 (Ref.eq),10.14,V ugm-3 (FIDAS),6.736,V ugm-3 (Ref.eq),,,11.5,V ugm-3 (FIDAS),8.396,V ugm-3 (Ref.eq),0.40747,V mgm-3,No data,V ugm-3 (TEOM FDMS),10.3,V ugm-3 (TEOM FDMS),No data,V mgm-3,9.3,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq),8.8,V ugm-3 (FIDAS),5.967,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,02:00:00,13.9,V ugm-3 (FIDAS),10.849,V ugm-3 (Ref.eq),16.522,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.3,V ugm-3 (FIDAS),6.604,V ugm-3 (Ref.eq),8.781,V ugm-3 (FIDAS),6.236,V ugm-3 (Ref.eq),,,12,V ugm-3 (FIDAS),8.679,V ugm-3 (Ref.eq),0.430754,V mgm-3,No data,V ugm-3 (TEOM FDMS),9.6,V ugm-3 (TEOM FDMS),No data,V mgm-3,9.6,V ugm-3 (FIDAS),6.604,V ugm-3 (Ref.eq),8.625,V ugm-3 (FIDAS),6.203,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,03:00:00,15.1,V ugm-3 (FIDAS),11.509,V ugm-3 (Ref.eq),16.522,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),9.6,V ugm-3 (FIDAS),7.17,V ugm-3 (Ref.eq),8.456,V ugm-3 (FIDAS),6.046,V ugm-3 (Ref.eq),,,10.7,V ugm-3 (FIDAS),8.113,V ugm-3 (Ref.eq),0.384186,V mgm-3,No data,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),No data,V mgm-3,9.4,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq),8.75,V ugm-3 (FIDAS),6.038,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,04:00:00,14.8,V ugm-3 (FIDAS),11.415,V ugm-3 (Ref.eq),15.556,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),9.1,V ugm-3 (FIDAS),7.17,V ugm-3 (Ref.eq),9.637,V ugm-3 (FIDAS),6.226,V ugm-3 (Ref.eq),,,10.9,V ugm-3 (FIDAS),8.113,V ugm-3 (Ref.eq),0.40747,V mgm-3,No data,V ugm-3 (TEOM FDMS),10.6,V ugm-3 (TEOM FDMS),No data,V mgm-3,9.7,V ugm-3 (FIDAS),6.887,V ugm-3 (Ref.eq),9.15,V ugm-3 (FIDAS),6.509,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,05:00:00,13.4,V ugm-3 (FIDAS),10.943,V ugm-3 (Ref.eq),9.759,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.4,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq),9.166,V ugm-3 (FIDAS),6.545,V ugm-3 (Ref.eq),,,10.4,V ugm-3 (FIDAS),8.302,V ugm-3 (Ref.eq),0.40747,V mgm-3,No data,V ugm-3 (TEOM FDMS),10.3,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.4,V ugm-3 (FIDAS),8.113,V ugm-3 (Ref.eq),9.45,V ugm-3 (FIDAS),7.005,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,06:00:00,15.1,V ugm-3 (FIDAS),10.849,V ugm-3 (Ref.eq),9.759,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.4,V ugm-3 (FIDAS),6.887,V ugm-3 (Ref.eq),10.335,V ugm-3 (FIDAS),7.1,V ugm-3 (Ref.eq),,,10.8,V ugm-3 (FIDAS),8.396,V ugm-3 (Ref.eq),0.454038,V mgm-3,No data,V ugm-3 (TEOM FDMS),12.4,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.8,V ugm-3 (FIDAS),8.113,V ugm-3 (Ref.eq),7.75,V ugm-3 (FIDAS),5.425,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,07:00:00,14.8,V ugm-3 (FIDAS),9.151,V ugm-3 (Ref.eq),16.522,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.9,V ugm-3 (FIDAS),6.792,V ugm-3 (Ref.eq),10.629,V ugm-3 (FIDAS),7.478,V ugm-3 (Ref.eq),,,11.2,V ugm-3 (FIDAS),7.925,V ugm-3 (Ref.eq),0.500606,V mgm-3,No data,V ugm-3 (TEOM FDMS),12.2,V ugm-3 (TEOM FDMS),No data,V mgm-3,11.1,V ugm-3 (FIDAS),8.208,V ugm-3 (Ref.eq),10.6,V ugm-3 (FIDAS),7.594,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,08:00:00,10.7,V ugm-3 (FIDAS),7.264,V ugm-3 (Ref.eq),19.421,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),10.1,V ugm-3 (FIDAS),7.264,V ugm-3 (Ref.eq),12.493,V ugm-3 (FIDAS),7.916,V ugm-3 (Ref.eq),,,9.7,V ugm-3 (FIDAS),6.509,V ugm-3 (Ref.eq),0.500606,V mgm-3,No data,V ugm-3 (TEOM FDMS),11.1,V ugm-3 (TEOM FDMS),No data,V mgm-3,13.5,V ugm-3 (FIDAS),9.057,V ugm-3 (Ref.eq),11.1,V ugm-3 (FIDAS),8.137,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,09:00:00,8.4,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),17.488,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.1,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),12.375,V ugm-3 (FIDAS),6.247,V ugm-3 (Ref.eq),,,10.1,V ugm-3 (FIDAS),6.132,V ugm-3 (Ref.eq),0.52389,V mgm-3,No data,V ugm-3 (TEOM FDMS),12.7,V ugm-3 (TEOM FDMS),No data,V mgm-3,14,V ugm-3 (FIDAS),7.547,V ugm-3 (Ref.eq),8.6,V ugm-3 (FIDAS),5.92,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,10:00:00,8.9,V ugm-3 (FIDAS),5.472,V ugm-3 (Ref.eq),17.488,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),7.9,V ugm-3 (FIDAS),5.377,V ugm-3 (Ref.eq),8.666,V ugm-3 (FIDAS),5.158,V ugm-3 (Ref.eq),,,9.7,V ugm-3 (FIDAS),5.849,V ugm-3 (Ref.eq),0.535532,V mgm-3,No data,V ugm-3 (TEOM FDMS),9.3,V ugm-3 (TEOM FDMS),No data,V mgm-3,12.5,V ugm-3 (FIDAS),6.132,V ugm-3 (Ref.eq),8.025,V ugm-3 (FIDAS),5.118,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,11:00:00,9.3,V ugm-3 (FIDAS),5.472,V ugm-3 (Ref.eq),13.623,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),9.3,V ugm-3 (FIDAS),5.472,V ugm-3 (Ref.eq),8.227,V ugm-3 (FIDAS),4.513,V ugm-3 (Ref.eq),,,9.3,V ugm-3 (FIDAS),5.189,V ugm-3 (Ref.eq),0.500606,V mgm-3,No data,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),No data,V mgm-3,11.9,V ugm-3 (FIDAS),5.755,V ugm-3 (Ref.eq),8,V ugm-3 (FIDAS),4.717,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,12:00:00,8.8,V ugm-3 (FIDAS),5.189,V ugm-3 (Ref.eq),19.421,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.3,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),9.11,V ugm-3 (FIDAS),4.685,V ugm-3 (Ref.eq),,,7.4,V ugm-3 (FIDAS),4.623,V ugm-3 (Ref.eq),0.547174,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.5,V ugm-3 (FIDAS),5.189,V ugm-3 (Ref.eq),7.725,V ugm-3 (FIDAS),4.363,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,13:00:00,9,V ugm-3 (FIDAS),5.094,V ugm-3 (Ref.eq),12.657,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),7.7,V ugm-3 (FIDAS),4.623,V ugm-3 (Ref.eq),8.455,V ugm-3 (FIDAS),4.764,V ugm-3 (Ref.eq),,,8.2,V ugm-3 (FIDAS),4.717,V ugm-3 (Ref.eq),0.500606,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.7,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.8,V ugm-3 (FIDAS),5.283,V ugm-3 (Ref.eq),7.9,V ugm-3 (FIDAS),4.623,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,14:00:00,9.7,V ugm-3 (FIDAS),5.472,V ugm-3 (Ref.eq),11.691,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),7.4,V ugm-3 (FIDAS),4.34,V ugm-3 (Ref.eq),7.885,V ugm-3 (FIDAS),4.516,V ugm-3 (Ref.eq),,,8.7,V ugm-3 (FIDAS),4.906,V ugm-3 (Ref.eq),0.52389,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.7,V ugm-3 (TEOM FDMS),No data,V mgm-3,12.1,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),8,V ugm-3 (FIDAS),4.316,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,15:00:00,9.7,V ugm-3 (FIDAS),5.943,V ugm-3 (Ref.eq),14.59,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.3,V ugm-3 (FIDAS),4.434,V ugm-3 (Ref.eq),6.226,V ugm-3 (FIDAS),4.143,V ugm-3 (Ref.eq),,,7.8,V ugm-3 (FIDAS),4.623,V ugm-3 (Ref.eq),0.5821,V mgm-3,No data,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),No data,V mgm-3,9.7,V ugm-3 (FIDAS),4.811,V ugm-3 (Ref.eq),6.45,V ugm-3 (FIDAS),3.797,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,16:00:00,7.4,V ugm-3 (FIDAS),3.868,V ugm-3 (Ref.eq),7.826,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),7.4,V ugm-3 (FIDAS),4.245,V ugm-3 (Ref.eq),4.848,V ugm-3 (FIDAS),3.168,V ugm-3 (Ref.eq),,,6.3,V ugm-3 (FIDAS),3.585,V ugm-3 (Ref.eq),0.52389,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),No data,V mgm-3,10,V ugm-3 (FIDAS),4.434,V ugm-3 (Ref.eq),4.725,V ugm-3 (FIDAS),3.113,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,17:00:00,5.9,V ugm-3 (FIDAS),3.396,V ugm-3 (Ref.eq),15.556,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),5.8,V ugm-3 (FIDAS),3.396,V ugm-3 (Ref.eq),2.211,V ugm-3 (FIDAS),1.6,V ugm-3 (Ref.eq),,,3.6,V ugm-3 (FIDAS),2.264,V ugm-3 (Ref.eq),0.52389,V mgm-3,No data,V ugm-3 (TEOM FDMS),6.9,V ugm-3 (TEOM FDMS),No data,V mgm-3,4.4,V ugm-3 (FIDAS),2.453,V ugm-3 (Ref.eq),2.35,V ugm-3 (FIDAS),1.627,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,18:00:00,4.3,V ugm-3 (FIDAS),2.547,V ugm-3 (Ref.eq),4.928,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),4,V ugm-3 (FIDAS),2.736,V ugm-3 (Ref.eq),1.436,V ugm-3 (FIDAS),0.876,V ugm-3 (Ref.eq),,,1.7,V ugm-3 (FIDAS),1.132,V ugm-3 (Ref.eq),0.442396,V mgm-3,No data,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),No data,V mgm-3,2.7,V ugm-3 (FIDAS),1.887,V ugm-3 (Ref.eq),1.35,V ugm-3 (FIDAS),0.778,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,19:00:00,2.4,V ugm-3 (FIDAS),1.415,V ugm-3 (Ref.eq),5.894,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),2.6,V ugm-3 (FIDAS),1.604,V ugm-3 (Ref.eq),2.418,V ugm-3 (FIDAS),1.286,V ugm-3 (Ref.eq),,,1.8,V ugm-3 (FIDAS),1.038,V ugm-3 (Ref.eq),0.46568,V mgm-3,No data,V ugm-3 (TEOM FDMS),4.5,V ugm-3 (TEOM FDMS),No data,V mgm-3,2.9,V ugm-3 (FIDAS),1.792,V ugm-3 (Ref.eq),2.425,V ugm-3 (FIDAS),1.274,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,20:00:00,4,V ugm-3 (FIDAS),2.264,V ugm-3 (Ref.eq),9.759,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),2.3,V ugm-3 (FIDAS),1.038,V ugm-3 (Ref.eq),6.989,V ugm-3 (FIDAS),3.361,V ugm-3 (Ref.eq),,,5.7,V ugm-3 (FIDAS),3.208,V ugm-3 (Ref.eq),0.395828,V mgm-3,No data,V ugm-3 (TEOM FDMS),9.4,V ugm-3 (TEOM FDMS),No data,V mgm-3,5.2,V ugm-3 (FIDAS),2.736,V ugm-3 (Ref.eq),6.55,V ugm-3 (FIDAS),3.443,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,21:00:00,7.3,V ugm-3 (FIDAS),3.585,V ugm-3 (Ref.eq),10.725,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),4.8,V ugm-3 (FIDAS),2.264,V ugm-3 (Ref.eq),9.073,V ugm-3 (FIDAS),4.837,V ugm-3 (Ref.eq),,,8.7,V ugm-3 (FIDAS),4.906,V ugm-3 (Ref.eq),0.442396,V mgm-3,No data,V ugm-3 (TEOM FDMS),8.2,V ugm-3 (TEOM FDMS),No data,V mgm-3,7.2,V ugm-3 (FIDAS),4.151,V ugm-3 (Ref.eq),7.875,V ugm-3 (FIDAS),4.575,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,22:00:00,9.1,V ugm-3 (FIDAS),4.528,V ugm-3 (Ref.eq),14.59,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),7.1,V ugm-3 (FIDAS),3.868,V ugm-3 (Ref.eq),9.456,V ugm-3 (FIDAS),5.184,V ugm-3 (Ref.eq),,,11.2,V ugm-3 (FIDAS),5.755,V ugm-3 (Ref.eq),0.46568,V mgm-3,No data,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),No data,V mgm-3,8.6,V ugm-3 (FIDAS),5.094,V ugm-3 (Ref.eq),9.775,V ugm-3 (FIDAS),5.377,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,23:00:00,9.4,V ugm-3 (FIDAS),5.283,V ugm-3 (Ref.eq),15.556,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.4,V ugm-3 (FIDAS),4.434,V ugm-3 (Ref.eq),12.193,V ugm-3 (FIDAS),5.872,V ugm-3 (Ref.eq),,,12.4,V ugm-3 (FIDAS),6.415,V ugm-3 (Ref.eq),0.395828,V mgm-3,No data,V ugm-3 (TEOM FDMS),5.4,V ugm-3 (TEOM FDMS),No data,V mgm-3,9.8,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),10,V ugm-3 (FIDAS),5.519,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-05,24:00:00,11.1,V ugm-3 (FIDAS),5.849,V ugm-3 (Ref.eq),14.59,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),9,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),10.208,V ugm-3 (FIDAS),5.29,V ugm-3 (Ref.eq),,,12.3,V ugm-3 (FIDAS),6.226,V ugm-3 (Ref.eq),0.325976,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.6,V ugm-3 (FIDAS),5.849,V ugm-3 (Ref.eq),10.825,V ugm-3 (FIDAS),5.448,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-06,01:00:00,11,V ugm-3 (FIDAS),5.66,V ugm-3 (Ref.eq),17.488,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),9.4,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),10.278,V ugm-3 (FIDAS),5.197,V ugm-3 (Ref.eq),,,11.2,V ugm-3 (FIDAS),5.943,V ugm-3 (Ref.eq),0.279408,V mgm-3,No data,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),No data,V mgm-3,9.1,V ugm-3 (FIDAS),5.189,V ugm-3 (Ref.eq),11.025,V ugm-3 (FIDAS),5.542,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-06,02:00:00,10.3,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),16.522,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),10.1,V ugm-3 (FIDAS),5.377,V ugm-3 (Ref.eq),10.936,V ugm-3 (FIDAS),5.487,V ugm-3 (Ref.eq),,,12.3,V ugm-3 (FIDAS),6.132,V ugm-3 (Ref.eq),0.279408,V mgm-3,No data,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.5,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),11.65,V ugm-3 (FIDAS),6.038,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-06,03:00:00,9.3,V ugm-3 (FIDAS),4.906,V ugm-3 (Ref.eq),12.657,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),9.3,V ugm-3 (FIDAS),5,V ugm-3 (Ref.eq),10.631,V ugm-3 (FIDAS),5.041,V ugm-3 (Ref.eq),,,9.8,V ugm-3 (FIDAS),5.094,V ugm-3 (Ref.eq),0.34926,V mgm-3,No data,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),No data,V mgm-3,10.4,V ugm-3 (FIDAS),5.472,V ugm-3 (Ref.eq),9.35,V ugm-3 (FIDAS),5.118,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-06,04:00:00,8.4,V ugm-3 (FIDAS),4.151,V ugm-3 (Ref.eq),4.928,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),8.3,V ugm-3 (FIDAS),4.623,V ugm-3 (Ref.eq),7.948,V ugm-3 (FIDAS),3.926,V ugm-3 (Ref.eq),,,8.9,V ugm-3 (FIDAS),4.151,V ugm-3 (Ref.eq),0.244482,V mgm-3,No data,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),No data,V mgm-3,8,V ugm-3 (FIDAS),4.245,V ugm-3 (Ref.eq),7.075,V ugm-3 (FIDAS),3.609,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-06,05:00:00,4.7,V ugm-3 (FIDAS),2.547,V ugm-3 (Ref.eq),7.826,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),6.7,V ugm-3 (FIDAS),3.491,V ugm-3 (Ref.eq),3.911,V ugm-3 (FIDAS),2.032,V ugm-3 (Ref.eq),,,4.4,V ugm-3 (FIDAS),2.359,V ugm-3 (Ref.eq),0.267766,V mgm-3,No data,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),No data,V mgm-3,4.1,V ugm-3 (FIDAS),2.359,V ugm-3 (Ref.eq),4.95,V ugm-3 (FIDAS),2.217,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
2021-08-06,06:00:00,4.8,V ugm-3 (FIDAS),2.736,V ugm-3 (Ref.eq),7.826,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM),4.4,V ugm-3 (FIDAS),2.17,V ugm-3 (Ref.eq),6.381,V ugm-3 (FIDAS),2.849,V ugm-3 (Ref.eq),,,5.6,V ugm-3 (FIDAS),2.642,V ugm-3 (Ref.eq),0.337618,V mgm-3,No data,V ugm-3 (TEOM FDMS),4.8,V ugm-3 (TEOM FDMS),No data,V mgm-3,5.3,V ugm-3 (FIDAS),2.642,V ugm-3 (Ref.eq),6.325,V ugm-3 (FIDAS),3.16,V ugm-3 (Ref.eq),No data,V ugm-3 (BAM)
